Comment,Designator,Footprint,LCSC
USB6B1,U1,USB_Port_Protector_USB6B1,C10508
16mghz,Y1,Crystal_SMD_X322516MLB4SI,C13738
RotaryEncoder_Switch,SW2,RotaryEncoder_Bourns_PEC11R-4xxxF-Sxxxx,C143789
10n,"C7,C9",C_0402_1005Metric,C15195
12p,"C5,C6",C_0402_1005Metric,C1547
USB_C_Receptacle_USB2.0_16P,J1,USB_C_HRO_TYPE-C-31-M-12,C165948
4.7u,C10,C_0402_1005Metric,C23733
22,"R2,R3",R_0402_1005Metric,C25092
10k,"R1,R10,R11,R6,R7,R8,R9",R_0402_1005Metric,C25744
5k1,"R4,R5",R_0402_1005Metric,C25905
SW_Push,SW1,SW_Tactile_TSB008A2530A,C2888954
4k7,"R12,R13",R_0402_1005Metric,C2906941
100n,"C1,C2,C3,C8",C_0402_1005Metric,C307331
ATmega32U4-A,U3,TQFP-44_10x10mm_P0.8mm,C44854
1u,C4,C_0402_1005Metric,C52923
Keyswitch,"S1,S2,S3,S4,S5,S6,S7,S8,S9",Hotswap_Choc_V1_Plated_1.00u,C5333465
Diode,"D1,D2,D3,D4,D5,D6,D7,D8,D9",Diode_SOD-123,C7420318
Display,J2,SSD1306_LCD_Display_128x32,
WS2812B-2020,D13,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D12,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D16,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D14,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D17,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D11,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D15,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D18,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D10,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
